Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	SIFT summary	PolyPhen summary	Variants by chromosome	Position in protein	General statistics
ASW_GGCX	{'deletion': 1, 'insertion': 2, 'SNV': 28}	{'missense_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 12}	{'missense_variant': 23, 'synonymous_variant': 23, '3_prime_UTR_variant': 33, 'non_coding_transcript_exon_variant': 41, 'intron_variant': 820, 'NMD_transcript_variant': 186, 'non_coding_transcript_variant': 155, 'upstream_gene_variant': 72, 'downstream_gene_variant': 255, 'regulatory_region_variant': 1}	{'missense_variant': 23, 'synonymous_variant': 23}	{'tolerated': 9}	{'benign': 9}	{'chr2': 31}	{'00-10%': 2, '10-20%': 3, '20-30%': 3, '30-40%': 10, '40-50%': 12, '50-60%': 10, '60-70%': 2, '70-80%': 1, '80-90%': 1, '90-100%': 2}	{'Lines of input read': 31, 'Variants processed': 31, 'Variants filtered out': 0, 'Novel variants': 8, 'Existing variants': 23, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 1}
ASW_OPRM1	{'insertion': 2, 'deletion': 6, 'SNV': 216}	{'stop_gained': 2, 'missense_variant': 6, 'synonymous_variant': 3, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 22, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 184}	{'stop_gained': 2, 'missense_variant': 52, 'synonymous_variant': 34, '5_prime_UTR_variant': 20, '3_prime_UTR_variant': 55, 'non_coding_transcript_exon_variant': 21, 'intron_variant': 2435, 'NMD_transcript_variant': 336, 'non_coding_transcript_variant': 182, 'upstream_gene_variant': 91, 'downstream_gene_variant': 206, 'regulatory_region_variant': 5}	{'stop_gained': 2, 'missense_variant': 52, 'synonymous_variant': 34}	{'deleterious': 2, 'tolerated_low_confidence': 16, 'deleterious_low_confidence': 34}	{'unknown': 2, 'possibly_damaging': 4, 'probably_damaging': 18, 'benign': 28}	{'chr6': 224}	{'00-10%': 33, '10-20%': 7, '20-30%': 6, '30-40%': 5, '40-50%': 12, '50-60%': 3, '60-70%': 0, '70-80%': 14, '80-90%': 3, '90-100%': 5}	{'Lines of input read': 224, 'Variants processed': 224, 'Variants filtered out': 0, 'Novel variants': 59, 'Existing variants': 165, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 4}
ASW_UGT2B7	{'deletion': 3, 'insertion': 5, 'SNV': 139}	{'missense_variant': 2, 'splice_region_variant': 3, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 7, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 128}	{'missense_variant': 16, 'splice_region_variant': 9, 'splice_polypyrimidine_tract_variant': 2, 'synonymous_variant': 55, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 8, 'non_coding_transcript_exon_variant': 15, 'intron_variant': 759, 'non_coding_transcript_variant': 224, 'upstream_gene_variant': 84, 'downstream_gene_variant': 63, 'regulatory_region_variant': 9}	{'missense_variant': 16, 'synonymous_variant': 55}	{'tolerated_low_confidence': 7}	{'benign': 7}	{'chr4': 147}	{'00-10%': 0, '10-20%': 9, '20-30%': 5, '30-40%': 0, '40-50%': 14, '50-60%': 8, '60-70%': 14, '70-80%': 10, '80-90%': 2, '90-100%': 9}	{'Lines of input read': 147, 'Variants processed': 147, 'Variants filtered out': 0, 'Novel variants': 17, 'Existing variants': 130, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
ASW_VKORC1	{'deletion': 1, 'SNV': 12}	{'missense_variant': 1, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 2, 'intron_variant': 7}	{'missense_variant': 5, 'synonymous_variant': 4, '5_prime_UTR_variant': 7, '3_prime_UTR_variant': 15, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 99, 'non_coding_transcript_variant': 10, 'upstream_gene_variant': 52, 'downstream_gene_variant': 7, 'regulatory_region_variant': 1}	{'missense_variant': 5, 'synonymous_variant': 4}	{'tolerated': 1, 'tolerated_low_confidence': 1, 'deleterious_low_confidence': 3}	{'probably_damaging': 1, 'unknown': 2, 'possibly_damaging': 2}	{'chr16': 13}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 2, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 13, 'Variants processed': 13, 'Variants filtered out': 0, 'Novel variants': 4, 'Existing variants': 9, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
BEB_CALU	{'SNV': 12}	{'missense_variant': 2, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 1, 'intron_variant': 8}	{'missense_variant': 35, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 25, 'intron_variant': 222, 'upstream_gene_variant': 7, 'downstream_gene_variant': 1, 'regulatory_region_variant': 1}	{'missense_variant': 35}	{'tolerated_low_confidence': 1, 'tolerated': 28}	{'benign': 29}	{'chr7': 12}	{'00-10%': 24, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 12, 'Variants processed': 12, 'Variants filtered out': 0, 'Novel variants': 2, 'Existing variants': 10, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 1}
BEB_CYP2C9	{'SNV': 13}	{'missense_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 7}	{'missense_variant': 16, 'synonymous_variant': 17, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 207, 'NMD_transcript_variant': 13, 'non_coding_transcript_variant': 8, 'upstream_gene_variant': 3, 'downstream_gene_variant': 7}	{'missense_variant': 16, 'synonymous_variant': 17}	{'deleterious_low_confidence': 1}	{'benign': 1}	{'chr10': 13}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 14, '80-90%': 0, '90-100%': 17}	{'Lines of input read': 13, 'Variants processed': 13, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 13, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
BEB_CYP4F2	{'insertion': 2, 'SNV': 29}	{'missense_variant': 3, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 1, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 20}	{'missense_variant': 52, 'splice_polypyrimidine_tract_variant': 21, 'synonymous_variant': 34, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 18, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 515, 'NMD_transcript_variant': 24, 'non_coding_transcript_variant': 44, 'upstream_gene_variant': 26, 'downstream_gene_variant': 23}	{'missense_variant': 52, 'synonymous_variant': 34}	{'tolerated': 2, 'deleterious_low_confidence': 5, 'tolerated_low_confidence': 10}	{'probably_damaging': 4, 'benign': 13}	{'chr19': 31}	{'00-10%': 19, '10-20%': 30, '20-30%': 0, '30-40%': 1, '40-50%': 0, '50-60%': 1, '60-70%': 1, '70-80%': 2, '80-90%': 19, '90-100%': 13}	{'Lines of input read': 31, 'Variants processed': 31, 'Variants filtered out': 0, 'Novel variants': 1, 'Existing variants': 30, 'Overlapped genes': 3, 'Overlapped transcripts': 26, 'Overlapped regulatory features': 0}
BEB_DRD2	{'SNV': 30}	{'synonymous_variant': 2, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 2, 'intron_variant': 25}	{'synonymous_variant': 16, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 15, 'intron_variant': 225, 'non_coding_transcript_variant': 39, 'upstream_gene_variant': 10, 'downstream_gene_variant': 43}	{'synonymous_variant': 16}			{'chr11': 30}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 15, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 30, 'Variants processed': 30, 'Variants filtered out': 0, 'Novel variants': 6, 'Existing variants': 24, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 0}
BEB_GGCX	{'deletion': 3, 'SNV': 8}	{'missense_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 6}	{'missense_variant': 23, 'synonymous_variant': 23, '3_prime_UTR_variant': 29, 'non_coding_transcript_exon_variant': 25, 'intron_variant': 283, 'NMD_transcript_variant': 76, 'non_coding_transcript_variant': 55, 'upstream_gene_variant': 14, 'downstream_gene_variant': 31}	{'missense_variant': 23, 'synonymous_variant': 23}	{'tolerated': 9}	{'benign': 9}	{'chr2': 11}	{'00-10%': 2, '10-20%': 3, '20-30%': 3, '30-40%': 10, '40-50%': 12, '50-60%': 10, '60-70%': 2, '70-80%': 1, '80-90%': 1, '90-100%': 2}	{'Lines of input read': 11, 'Variants processed': 11, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 11, 'Overlapped genes': 3, 'Overlapped transcripts': 47, 'Overlapped regulatory features': 0}
BEB_OPRM1	{'deletion': 2, 'SNV': 49}	{'stop_gained': 1, 'missense_variant': 3, 'synonymous_variant': 2, '3_prime_UTR_variant': 4, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 37}	{'stop_gained': 1, 'missense_variant': 17, 'synonymous_variant': 17, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 15, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 712, 'NMD_transcript_variant': 99, 'non_coding_transcript_variant': 50, 'upstream_gene_variant': 41, 'downstream_gene_variant': 69, 'regulatory_region_variant': 1}	{'stop_gained': 1, 'missense_variant': 17, 'synonymous_variant': 17}	{'tolerated_low_confidence': 1, 'deleterious': 2, 'deleterious_low_confidence': 14}	{'unknown': 2, 'probably_damaging': 2, 'possibly_damaging': 3, 'benign': 10}	{'chr6': 51}	{'00-10%': 21, '10-20%': 4, '20-30%': 4, '30-40%': 0, '40-50%': 1, '50-60%': 1, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 4}	{'Lines of input read': 51, 'Variants processed': 51, 'Variants filtered out': 0, 'Novel variants': 13, 'Existing variants': 38, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 1}
BEB_UGT2B7	{'sequence_alteration': 1, 'deletion': 1, 'insertion': 3, 'SNV': 41}	{'missense_variant': 1, 'synonymous_variant': 4, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 36}	{'missense_variant': 9, 'synonymous_variant': 33, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 12, 'non_coding_transcript_exon_variant': 9, 'intron_variant': 319, 'non_coding_transcript_variant': 80, 'upstream_gene_variant': 34, 'downstream_gene_variant': 35, 'regulatory_region_variant': 1}	{'missense_variant': 9, 'synonymous_variant': 33}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 46}	{'00-10%': 0, '10-20%': 3, '20-30%': 2, '30-40%': 0, '40-50%': 14, '50-60%': 3, '60-70%': 13, '70-80%': 4, '80-90%': 1, '90-100%': 2}	{'Lines of input read': 46, 'Variants processed': 46, 'Variants filtered out': 0, 'Novel variants': 4, 'Existing variants': 42, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
BEB_VKORC1	{'SNV': 2}	{'3_prime_UTR_variant': 1, 'intron_variant': 1}	{'3_prime_UTR_variant': 7, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 11, 'non_coding_transcript_variant': 1, 'upstream_gene_variant': 8, 'downstream_gene_variant': 3}				{'chr16': 2}		{'Lines of input read': 2, 'Variants processed': 2, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 2, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 0}
CDX_CALU	{'deletion': 1, 'insertion': 1, 'SNV': 16}	{'missense_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 3, 'intron_variant': 13}	{'missense_variant': 24, 'synonymous_variant': 11, '3_prime_UTR_variant': 18, 'intron_variant': 330, 'upstream_gene_variant': 5, 'downstream_gene_variant': 65, 'regulatory_region_variant': 1}	{'missense_variant': 24, 'synonymous_variant': 11}	{'tolerated_low_confidence': 1, 'tolerated': 19}	{'benign': 20}	{'chr7': 18}	{'00-10%': 24, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 18, 'Variants processed': 18, 'Variants filtered out': 0, 'Novel variants': 9, 'Existing variants': 9, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 1}
CDX_CYP2C9	{'SNV': 10}	{'non_coding_transcript_exon_variant': 2, 'intron_variant': 8}	{'non_coding_transcript_exon_variant': 2, 'intron_variant': 182, 'NMD_transcript_variant': 10, 'upstream_gene_variant': 4, 'downstream_gene_variant': 2, 'regulatory_region_variant': 1}				{'chr10': 10}		{'Lines of input read': 10, 'Variants processed': 10, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 3, 'Overlapped genes': 2, 'Overlapped transcripts': 22, 'Overlapped regulatory features': 1}
CDX_CYP4F2	{'SNV': 14}	{'3_prime_UTR_variant': 1, 'intron_variant': 13}	{'3_prime_UTR_variant': 15, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 267, 'NMD_transcript_variant': 12, 'non_coding_transcript_variant': 23, 'upstream_gene_variant': 9, 'downstream_gene_variant': 8}				{'chr19': 14}		{'Lines of input read': 14, 'Variants processed': 14, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 7, 'Overlapped genes': 2, 'Overlapped transcripts': 25, 'Overlapped regulatory features': 0}
CDX_DRD2	{'deletion': 1, 'SNV': 74}	{'synonymous_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 67}	{'synonymous_variant': 8, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 15, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 547, 'non_coding_transcript_variant': 80, 'upstream_gene_variant': 65, 'downstream_gene_variant': 67, 'regulatory_region_variant': 5}	{'synonymous_variant': 8}			{'chr11': 75}	{'00-10%': 0, '10-20%': 0, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 1, '70-80%': 7, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 75, 'Variants processed': 75, 'Variants filtered out': 0, 'Novel variants': 24, 'Existing variants': 51, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
CDX_GGCX	{'sequence_alteration': 1, 'deletion': 2, 'insertion': 3, 'SNV': 17}	{'missense_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 2, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 7}	{'missense_variant': 23, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 46, '3_prime_UTR_variant': 40, 'non_coding_transcript_exon_variant': 47, 'intron_variant': 609, 'NMD_transcript_variant': 148, 'non_coding_transcript_variant': 113, 'upstream_gene_variant': 27, 'downstream_gene_variant': 201}	{'missense_variant': 23, 'synonymous_variant': 46}	{'tolerated': 9}	{'benign': 9}	{'chr2': 23}	{'00-10%': 2, '10-20%': 3, '20-30%': 5, '30-40%': 13, '40-50%': 14, '50-60%': 23, '60-70%': 2, '70-80%': 1, '80-90%': 2, '90-100%': 4}	{'Lines of input read': 23, 'Variants processed': 23, 'Variants filtered out': 0, 'Novel variants': 3, 'Existing variants': 20, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 0}
CDX_OPRM1	{'deletion': 2, 'insertion': 4, 'SNV': 142}	{'missense_variant': 6, 'synonymous_variant': 3, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 10, 'intron_variant': 128}	{'missense_variant': 69, 'synonymous_variant': 3, '5_prime_UTR_variant': 7, '3_prime_UTR_variant': 21, 'non_coding_transcript_exon_variant': 15, 'intron_variant': 1590, 'NMD_transcript_variant': 182, 'non_coding_transcript_variant': 120, 'upstream_gene_variant': 70, 'downstream_gene_variant': 164, 'regulatory_region_variant': 5}	{'missense_variant': 69, 'synonymous_variant': 3}	{'deleterious': 2, 'tolerated_low_confidence': 19, 'deleterious_low_confidence': 48}	{'unknown': 3, 'possibly_damaging': 10, 'probably_damaging': 19, 'benign': 37}	{'chr6': 148}	{'00-10%': 15, '10-20%': 6, '20-30%': 16, '30-40%': 11, '40-50%': 2, '50-60%': 1, '60-70%': 6, '70-80%': 11, '80-90%': 0, '90-100%': 4}	{'Lines of input read': 148, 'Variants processed': 148, 'Variants filtered out': 0, 'Novel variants': 51, 'Existing variants': 97, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 4}
CDX_UGT2B7	{'deletion': 3, 'insertion': 5, 'SNV': 105}	{'missense_variant': 2, 'splice_region_variant': 2, 'synonymous_variant': 3, '3_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 99}	{'missense_variant': 16, 'splice_region_variant': 2, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 24, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 625, 'non_coding_transcript_variant': 176, 'upstream_gene_variant': 104, 'downstream_gene_variant': 58, 'regulatory_region_variant': 8}	{'missense_variant': 16, 'synonymous_variant': 24}	{'tolerated_low_confidence': 7}	{'benign': 7}	{'chr4': 113}	{'00-10%': 0, '10-20%': 8, '20-30%': 8, '30-40%': 2, '40-50%': 8, '50-60%': 3, '60-70%': 6, '70-80%': 3, '80-90%': 1, '90-100%': 1}	{'Lines of input read': 113, 'Variants processed': 113, 'Variants filtered out': 0, 'Novel variants': 12, 'Existing variants': 101, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 3}
CDX_VKORC1	{'SNV': 4}	{'5_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 2}	{'5_prime_UTR_variant': 1, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 42, 'non_coding_transcript_variant': 4, 'upstream_gene_variant': 14}				{'chr16': 4}		{'Lines of input read': 4, 'Variants processed': 4, 'Variants filtered out': 0, 'Novel variants': 1, 'Existing variants': 3, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 0}
CEU_CALU	{'insertion': 1, 'SNV': 32}	{'missense_variant': 2, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 6, 'intron_variant': 23}	{'missense_variant': 35, '5_prime_UTR_variant': 20, '3_prime_UTR_variant': 95, 'intron_variant': 602, 'upstream_gene_variant': 11, 'downstream_gene_variant': 62, 'regulatory_region_variant': 3}	{'missense_variant': 35}	{'tolerated_low_confidence': 1, 'tolerated': 28}	{'benign': 29}	{'chr7': 33}	{'00-10%': 24, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 33, 'Variants processed': 33, 'Variants filtered out': 0, 'Novel variants': 11, 'Existing variants': 22, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 2}
CEU_CYP2C9	{'SNV': 43}	{'missense_variant': 2, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 4, 'intron_variant': 35}	{'missense_variant': 33, 'splice_polypyrimidine_tract_variant': 15, 'synonymous_variant': 17, '3_prime_UTR_variant': 23, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 727, 'NMD_transcript_variant': 43, 'non_coding_transcript_variant': 17, 'upstream_gene_variant': 14, 'downstream_gene_variant': 19, 'regulatory_region_variant': 1}	{'missense_variant': 33, 'synonymous_variant': 17}	{'deleterious_low_confidence': 2, 'tolerated_low_confidence': 2}	{'benign': 1, 'possibly_damaging': 1, 'probably_damaging': 2}	{'chr10': 43}	{'00-10%': 0, '10-20%': 0, '20-30%': 9, '30-40%': 5, '40-50%': 1, '50-60%': 1, '60-70%': 2, '70-80%': 14, '80-90%': 1, '90-100%': 17}	{'Lines of input read': 43, 'Variants processed': 43, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 36, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 1}
CEU_CYP4F2	{'deletion': 1, 'insertion': 4, 'SNV': 57}	{'start_lost': 1, 'missense_variant': 5, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 1, '5_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 48}	{'start_lost': 19, 'missense_variant': 86, 'splice_region_variant': 34, 'splice_polypyrimidine_tract_variant': 36, 'synonymous_variant': 34, '5_prime_UTR_variant': 3, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 1027, 'NMD_transcript_variant': 50, 'non_coding_transcript_variant': 87, 'upstream_gene_variant': 146, 'downstream_gene_variant': 42}	{'start_lost': 19, 'missense_variant': 86, 'synonymous_variant': 34}	{'tolerated': 2, 'deleterious': 2, 'tolerated_low_confidence': 10, 'deleterious_low_confidence': 20}	{'possibly_damaging': 4, 'probably_damaging': 12, 'benign': 18}	{'chr19': 62}	{'00-10%': 38, '10-20%': 30, '20-30%': 0, '30-40%': 1, '40-50%': 0, '50-60%': 1, '60-70%': 1, '70-80%': 2, '80-90%': 20, '90-100%': 46}	{'Lines of input read': 62, 'Variants processed': 62, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 55, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
